Christian Bale
Heath Ledger
Aaron Eckhart
Michael Caine
Maggie Gyllenhaal
Gary Oldman
Morgan Freeman
Monique Gabriela Curnen
Ron Dean
Cillian Murphy
Chin Han
Nestor Carbonell
Eric Roberts
Ritchie Coster
Anthony Michael Hall
Keith Szarabajka
Colin McFarlane
Joshua Harto
Melinda McGraw
Nathan Gamble
Michael Vieau
Michael Stoyanov
William Smillie
Danny Goldring
Michael Jai White
Matthew O'Neill
William Fichtner
Olumiji Olawumi
Greg Beam
Erik Hellman
Beatrice Rosen
Vincenzo Nicoli
Edison Chen
Nydia Rodriguez Terracina
Andy Luther
James Farruggio
Tom McElroy
Will Zahrn
James Fierro
Patrick Leahy
Sam Derence
Jennifer Knox
Patrick Clear
Sarah Jayne Dunn
Charles Venn
Winston Ellis
David Dastmalchian
Sophia Hinshelwood
Keith Kupferer
Joe Caballero
Richard Dillane
Daryl Satcher
Chris Petschler
Aidan Feore
Philip Bulcock
Paul Birchard
Walter Lewis
Vincent Riotta
Nancy Crane
K. Todd Freeman
Matt Shallenberger
Michael Andrew Gorman
Lanny Lutz
Peter DeFaria
Matt Rippy
Andrew Bicknell
Ariyon Bakare
Doug Ballard
Helene Maksoud
Tommy Campbell
Craig Heaney
Lorna Gayle
Lisa McAllister
Peter Brooke
Joshua Rollins
Dale Rivera
Matthew Leitch
Tom Lister Jr.
Thomas Gaitsch
William Armstrong
Adam Kalesperis
Tristan Tait
Bronson Webb
David Ajala
Gertrude Mosley
Jonathan Ryland
James Scales
Nigel Carrington
Ian Pirie
Lateef Lovejoy
Grahame Edwards
Roger Monk
Ronan Summers
Wai Wong
Michael Corey Foster
Hannah Gunn
Brandon Lambdin
